City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
0,Chuy,-33.6971,-53.4616,78.76,53,73,12.86,broken clouds,UY,2022-01-30 18:37:09
1,Iquique,-20.2208,-70.1431,70.03,67,1,3.83,clear sky,CL,2022-01-30 18:37:10
2,Bontang,0.1333,117.5,78.13,85,100,5.17,overcast clouds,ID,2022-01-30 18:37:10
3,Tuatapere,-46.1333,167.6833,58.82,92,10,2.19,clear sky,NZ,2022-01-30 18:37:11
4,Qaanaaq,77.484,-69.3632,-6.21,67,100,9.66,overcast clouds,GL,2022-01-30 18:37:11
5,Galesong,-5.3166,119.3661,77.02,77,100,7.09,light rain,ID,2022-01-30 18:37:11
6,Hermanus,-34.4187,19.2345,71.8,77,100,15.35,overcast clouds,ZA,2022-01-30 18:37:11
7,Anadyr,64.75,177.4833,-19.52,82,75,2.24,mist,RU,2022-01-30 18:37:12
8,Lavrentiya,65.5833,-171.0,-5.12,89,3,5.1,clear sky,RU,2022-01-30 18:37:12
9,Taseyevo,57.2169,94.8978,-6.05,100,99,1.43,overcast clouds,RU,2022-01-30 18:37:12
10,Lesnoye,58.2841,35.5158,22.62,95,100,9.78,light snow,RU,2022-01-30 18:37:13
11,Mataura,-46.1927,168.8643,58.48,96,41,1.14,scattered clouds,NZ,2022-01-30 18:37:13
12,Vila Franca Do Campo,37.7167,-25.4333,59.2,79,71,15.1,broken clouds,PT,2022-01-30 18:37:13
13,Touros,-5.1989,-35.4608,86.9,68,93,14.72,overcast clouds,BR,2022-01-30 18:37:14
14,Jamestown,42.097,-79.2353,20.71,51,75,4.0,broken clouds,US,2022-01-30 18:32:32
15,Yellowknife,62.456,-114.3525,-12.48,77,100,9.22,light snow,CA,2022-01-30 18:37:14
16,Bredasdorp,-34.5322,20.0403,71.28,83,100,12.66,overcast clouds,ZA,2022-01-30 18:37:15
17,Ushuaia,-54.8,-68.3,46.06,76,75,23.02,light intensity drizzle,AR,2022-01-30 18:37:15
18,Esperance,-33.8667,121.9,67.84,66,74,9.17,broken clouds,AU,2022-01-30 18:37:15
19,Cape Town,-33.9258,18.4232,71.11,79,0,4.0,clear sky,ZA,2022-01-30 18:36:03
20,Castro,-24.7911,-50.0119,63.95,98,100,5.23,overcast clouds,BR,2022-01-30 18:37:16
21,Vaini,-21.2,-175.2,80.64,75,100,10.92,overcast clouds,TO,2022-01-30 18:37:16
22,Albany,42.6001,-73.9662,22.15,37,59,3.0,broken clouds,US,2022-01-30 18:32:31
23,Puerto Ayora,-0.7393,-90.3518,84.16,70,100,8.79,overcast clouds,EC,2022-01-30 18:37:16
24,Tabou,4.423,-7.3528,80.78,82,77,7.65,broken clouds,CI,2022-01-30 18:32:44
25,Moroni,-11.7022,43.2551,82.4,69,40,4.61,scattered clouds,KM,2022-01-30 18:37:17
26,Vao,-22.6667,167.4833,78.96,87,100,9.37,overcast clouds,NC,2022-01-30 18:37:17
27,Osoyoos,49.0331,-119.4524,30.96,78,98,8.05,overcast clouds,CA,2022-01-30 18:32:52
28,Kapaa,22.0752,-159.319,75.47,70,20,1.01,few clouds,US,2022-01-30 18:37:17
29,Arica,-18.475,-70.3042,83.75,68,25,9.33,scattered clouds,CL,2022-01-30 18:37:18
30,Yuanping,38.7153,112.7575,20.07,35,0,14.81,clear sky,CN,2022-01-30 18:37:18
31,Katsuura,35.1333,140.3,40.19,60,100,12.17,overcast clouds,JP,2022-01-30 18:37:18
32,Saint-Philippe,-21.3585,55.7679,80.19,81,33,10.98,scattered clouds,RE,2022-01-30 18:37:19
33,Fort Nelson,58.8053,-122.7002,-0.81,78,100,5.75,light snow,CA,2022-01-30 18:37:19
34,Tirukkoyilur,11.95,79.2,71.42,91,31,4.23,scattered clouds,IN,2022-01-30 18:37:19
35,Carnarvon,-24.8667,113.6333,80.67,78,77,18.41,broken clouds,AU,2022-01-30 18:37:20
36,Dingle,10.9995,122.6711,74.95,93,54,3.09,broken clouds,PH,2022-01-30 18:37:20
37,Rikitea,-23.1203,-134.9692,76.12,62,99,4.54,overcast clouds,PF,2022-01-30 18:37:21
38,Birao,10.2849,22.7882,72.91,16,54,5.88,broken clouds,CF,2022-01-30 18:37:21
39,Tangi,34.3006,71.6536,50.0,39,16,4.18,few clouds,PK,2022-01-30 18:37:21
40,Washougal,45.5826,-122.3534,51.93,66,100,13.8,overcast clouds,US,2022-01-30 18:37:21
41,Carlsbad,33.1581,-117.3506,70.97,35,0,1.99,clear sky,US,2022-01-30 18:32:52
42,Makokou,0.5738,12.8642,77.45,55,100,1.34,overcast clouds,GA,2022-01-30 18:37:22
43,Tasiilaq,65.6145,-37.6368,8.76,35,88,28.77,overcast clouds,GL,2022-01-30 18:37:22
44,Pevek,69.7008,170.3133,-11.42,95,100,3.67,overcast clouds,RU,2022-01-30 18:37:22
45,Paramonga,-10.6667,-77.8333,74.07,75,100,11.21,overcast clouds,PE,2022-01-30 18:38:23
46,Sobolevo,54.4299,31.8996,31.15,97,99,9.51,overcast clouds,RU,2022-01-30 18:34:03
47,Cidreira,-30.1811,-50.2056,76.55,60,0,16.75,clear sky,BR,2022-01-30 18:38:23
48,Nome,64.5011,-165.4064,-6.9,70,0,0.0,clear sky,US,2022-01-30 18:36:56
49,Cabo San Lucas,22.8909,-109.9124,80.51,65,20,6.91,few clouds,MX,2022-01-30 18:35:18
50,Machilipatnam,16.1667,81.1333,70.52,84,1,2.44,clear sky,IN,2022-01-30 18:38:23
51,Saskylakh,71.9167,114.0833,-20.51,100,100,2.82,overcast clouds,RU,2022-01-30 18:38:24
52,Tamiahua,21.2667,-97.45,68.65,64,8,8.55,clear sky,MX,2022-01-30 18:38:24
53,Tuktoyaktuk,69.4541,-133.0374,-2.2,78,100,19.57,light snow,CA,2022-01-30 18:38:24
54,Port Elizabeth,-33.918,25.5701,75.09,87,100,15.57,overcast clouds,ZA,2022-01-30 18:38:25
55,Faanui,-16.4833,-151.75,80.13,72,44,7.36,scattered clouds,PF,2022-01-30 18:38:25
56,Barrow,71.2906,-156.7887,-11.18,77,40,10.36,scattered clouds,US,2022-01-30 18:38:25
57,Sexsmith,55.35,-118.786,20.55,93,75,2.3,broken clouds,CA,2022-01-30 18:38:26
58,Hamilton,39.1834,-84.5333,39.88,55,0,1.01,clear sky,US,2022-01-30 18:36:01
59,Sitka,57.0531,-135.33,37.29,70,100,10.36,overcast clouds,US,2022-01-30 18:38:27
60,Hilo,19.7297,-155.09,75.61,72,40,6.91,scattered clouds,US,2022-01-30 18:36:24
61,Labuhan,-6.8844,112.2051,77.74,88,100,6.73,light rain,ID,2022-01-30 18:38:27
62,Arraial Do Cabo,-22.9661,-42.0278,89.56,58,40,8.05,scattered clouds,BR,2022-01-30 18:38:27
63,Ribeira Grande,38.5167,-28.7,57.6,77,40,12.66,scattered clouds,PT,2022-01-30 18:38:28
64,Geraldton,-28.7667,114.6,72.01,88,100,18.41,moderate rain,AU,2022-01-30 18:38:28
65,Molo,-0.2479,35.7374,53.8,67,27,1.61,scattered clouds,KE,2022-01-30 18:38:28
66,New Norfolk,-42.7826,147.0587,56.71,74,4,2.08,clear sky,AU,2022-01-30 18:38:15
67,Effingham,32.3669,-81.3332,55.58,25,0,12.1,clear sky,US,2022-01-30 18:38:29
68,Xilitla,21.3333,-98.9667,69.96,50,0,6.91,clear sky,MX,2022-01-30 18:38:29
69,Mazyr,52.0495,29.2456,31.66,96,100,10.45,overcast clouds,BY,2022-01-30 18:38:30
70,Hualmay,-11.0964,-77.6139,75.15,71,100,11.23,overcast clouds,PE,2022-01-30 18:38:30
71,Portland,45.5234,-122.6762,49.37,73,75,8.01,broken clouds,US,2022-01-30 18:37:55
72,Gornopravdinsk,60.05,69.9,0.0,99,100,3.8,overcast clouds,RU,2022-01-30 18:38:30
