City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Xining,36.6167,101.7667,26.74,44,100,2.15,CN,2022-01-20 19:18:50
1,Beringovskiy,63.05,179.3167,-20.0,87,4,12.06,RU,2022-01-20 19:09:07
2,Coquimbo,-29.9533,-71.3436,69.53,56,0,14.97,CL,2022-01-20 19:18:51
3,Bredasdorp,-34.5322,20.0403,62.28,74,0,4.5,ZA,2022-01-20 19:09:06
4,Camargo,27.6667,-105.1667,57.27,32,100,13.11,MX,2022-01-20 19:18:51
5,Bethel,41.3712,-73.414,34.16,70,98,3.0,US,2022-01-20 19:14:21
6,Aykhal,66.0,111.5,-9.51,100,100,9.35,RU,2022-01-20 19:18:52
7,Lodja,-3.4833,23.4333,75.99,74,100,0.74,CD,2022-01-20 19:14:26
8,Hobart,-42.8794,147.3294,55.27,87,0,1.99,AU,2022-01-20 19:16:26
9,Baracoa,20.3467,-74.4958,81.61,66,23,8.16,CU,2022-01-20 19:18:52
10,Providencia,28.7167,-111.5833,76.86,38,0,15.52,MX,2022-01-20 19:18:52
11,Thompson,55.7435,-97.8558,-7.44,64,20,9.22,CA,2022-01-20 19:18:53
12,Grand-Santi,4.25,-54.3833,84.72,63,100,2.51,GF,2022-01-20 19:18:53
13,Port Elizabeth,-33.918,25.5701,72.1,88,75,27.63,ZA,2022-01-20 19:18:53
14,Paraiso,9.8383,-83.8656,80.89,42,8,7.11,CR,2022-01-20 19:16:35
15,Khatanga,71.9667,102.5,-10.55,95,100,5.84,RU,2022-01-20 19:09:09
16,Ponta Do Sol,32.6667,-17.1,68.13,23,100,15.5,PT,2022-01-20 19:09:06
17,Poum,-20.2333,164.0167,80.96,76,49,5.77,NC,2022-01-20 19:15:51
18,Rikitea,-23.1203,-134.9692,78.48,74,100,9.06,PF,2022-01-20 19:18:54
19,Atuona,-9.8,-139.0333,78.71,73,14,22.28,PF,2022-01-20 19:18:54
20,Sitka,57.0531,-135.33,40.89,87,75,10.36,US,2022-01-20 19:15:49
21,Honningsvag,70.9821,25.9704,33.55,75,75,33.38,NO,2022-01-20 19:18:54
22,Okha,53.5739,142.9478,-1.34,90,100,16.73,RU,2022-01-20 19:18:55
23,Chimbote,-9.0853,-78.5783,77.4,71,41,14.18,PE,2022-01-20 19:11:35
24,Aklavik,68.2191,-135.0107,-14.8,70,75,11.5,CA,2022-01-20 19:18:55
25,Padang,-0.9492,100.3543,76.71,78,100,2.19,ID,2022-01-20 19:14:21
26,Butaritari,3.0707,172.7902,81.63,71,29,16.58,KI,2022-01-20 19:18:55
27,Port Alfred,-33.5906,26.891,75.25,87,6,3.74,ZA,2022-01-20 19:18:56
28,Marawi,7.9986,124.2928,63.64,91,100,2.48,PH,2022-01-20 19:18:56
29,Esperance,-33.8667,121.9,58.86,88,0,9.48,AU,2022-01-20 19:18:56
30,Yellowknife,62.456,-114.3525,-8.88,84,100,11.5,CA,2022-01-20 19:16:15
31,Longyearbyen,78.2186,15.6401,8.44,78,20,0.0,SJ,2022-01-20 19:14:42
32,Chokurdakh,70.6333,147.9167,-33.5,96,90,7.07,RU,2022-01-20 19:18:57
33,Adrar,20.5022,-10.0711,71.58,16,0,9.89,MR,2022-01-20 19:18:57
34,Saint-Philippe,-21.3585,55.7679,80.15,84,43,7.63,RE,2022-01-20 19:18:57
35,Ushuaia,-54.8,-68.3,74.82,33,0,3.44,AR,2022-01-20 19:18:57
36,Prince Rupert,54.3161,-130.3201,42.89,93,100,3.44,CA,2022-01-20 19:18:58
37,Mataura,-46.1927,168.8643,55.47,96,86,6.67,NZ,2022-01-20 19:18:58
38,Carnarvon,-24.8667,113.6333,77.07,78,0,8.05,AU,2022-01-20 19:09:08
39,Praia,14.9215,-23.5087,73.94,68,75,17.27,CV,2022-01-20 19:18:58
40,Bida,9.0833,6.0167,82.98,18,1,4.65,NG,2022-01-20 19:18:59
41,Bluff,-46.6,168.3333,55.8,70,81,16.51,NZ,2022-01-20 19:18:59
42,Touros,-5.1989,-35.4608,88.7,61,12,15.05,BR,2022-01-20 19:17:34
43,Deep River,46.1001,-77.4995,4.42,69,100,7.74,CA,2022-01-20 19:18:59
44,Puerto Ayora,-0.7393,-90.3518,85.96,82,96,8.21,EC,2022-01-20 19:19:00
45,Sao Filipe,14.8961,-24.4956,73.58,78,100,4.54,CV,2022-01-20 19:15:53
46,Airai,-8.9266,125.4092,61.05,99,100,3.42,TL,2022-01-20 19:19:00
47,Surin,14.8818,103.4936,76.24,94,100,5.79,TH,2022-01-20 19:20:00
48,Loandjili,-4.7561,11.8578,78.08,85,100,5.93,CG,2022-01-20 19:20:01
